time_min,t_B,winkel_deg,strecke_cm,velocity_mm_s,viscosity_Pa_s,delta_t_s,delta_velocity_mm_s,delta_viscosity_Pa_s
5,4.975,30,7.0,14.07035175879397,0.000559018724685,30.0,84.84634226408426,0.003370967184030473
10,27.69,30,1.0,0.3611412062116287,0.0217798189760208,30.0,0.39126891247197043,0.023596770288213303
15,31.99,45,1.0,0.3125976867771178,0.03558447378359,30.0,0.29315194133521527,0.033370872569793764
20,23.135,45,1.0,0.4322455154527772,0.0257345045634059,30.0,0.5605085568871111,0.03337087256979374
30,30.66,60,1.6,0.5218525766470972,0.0261062267152868,30.0,0.510618959537277,0.02554425314607321
40,40.425,75,1.0,0.2473716759431045,0.0614264069144766,30.0,0.183578238176701,0.04558545967679157
50,25.49,75,1.0,0.3923107100823852,0.0387324455720472,30.0,0.4617230797360361,0.045585459676791555
60,29.275,75,1.0,0.3415883859948762,0.0444838110679357,30.0,0.35004787633975365,0.04558545967679157
70,46.0,75,1.0,0.217391304347826,0.069897704837747,30.0,0.14177693761814744,0.0455854596767916
